ISBN-13,Title,Authors,Publisher,Year,Language
9780099590088,Sapiens - A Brief History of Humankind,['Yuval Noah Harari'],Vintage Books,2014,
9781593279288,"Python Crash Course, 2nd Edition - A Hands-On, Project-Based Introduction to Programming",['Eric Matthes'],No Starch Press,2019,
9780007547999,Algorithms to Live By - The Computer Science of Human Decisions,['Brian; Tom Griffiths Christian'],HARPER COLLINS,2017,
9780735611313,Code - The Hidden Language of Computer Hardware and Software,['Charles Petzold'],Microsoft Press,2000,
9781784703936,Homo Deus - A Brief History of Tomorrow,['Yuval Noah Harari'],Vintage,2017,
9780099590088,Sapiens - A Brief History of Humankind,['Yuval Noah Harari'],Vintage Books,2014,
9780008307738,Fire and Blood: 300 Years Before a Game of Thrones (A Targaryen History) (A Song of Ice and Fire),['George R R Martin'],Harper Voyager Harper Collins Publishers,2018,
9780007447848,A Storm of Swords,['George R.R. Martin'],Harper Voyager,2011,
9780007466078,A Dance With Dragons - 2: After the Feast,['George R.R. Martin'],Harper Collins Publishers,2012,
9780007447862,A Feast for Crows,['George R.R. Martin'],HarperCollins Publishers,2011,
9780007448036,A Game of Thrones: Book 1 of a Song of Ice and Fire,['George R.R. Martin'],HarperCollins Publishers,2011,
9780007447855,A Storm of Swords Blood and Gold,['George R.R. Martin'],HarperCollins Publishers,2011,
9780007466061,A Dance With Dragons - 1: Dreams and Dust,['George R.R. Martin'],Harper Collins Publishers,2012,
